Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
FirmB,Total Liabilities and Equity,258848000000.0,250312000000.0,193468000000.0,174472000000.0,172384000000.0,142431000000.0,121271000000.0,108704000000.0
FirmB,Revenues,110360000000.0,96571000000.0,91154000000.0,93580000000.0,86833000000.0,77849000000.0,73723000000.0,69943000000.0
FirmB,Cost of Goods Sold (COGS),38353000000.0,34261000000.0,32780000000.0,33038000000.0,27078000000.0,20385000000.0,17530000000.0,15577000000.0
FirmB,Gross Profit,72007000000.0,62310000000.0,58374000000.0,60542000000.0,59755000000.0,57464000000.0,56193000000.0,54366000000.0
FirmB,Operating Expenses,36949000000.0,32979000000.0,31186000000.0,32370000000.0,31869000000.0,30700000000.0,28237000000.0,27205000000.0
FirmB,Depreciation and Amortization,9954000000.0,7855000000.0,5947000000.0,5957000000.0,5212000000.0,3755000000.0,2967000000.0,2766000000.0
FirmB,Total Operating Expenses,,,,,,,,
FirmB,Operating Income,35058000000.0,29025000000.0,26078000000.0,18161000000.0,27759000000.0,26764000000.0,21763000000.0,27161000000.0
FirmB,Interest Income,2214000000.0,1387000000.0,0.0,0.0,0.0,0.0,0.0,900000000.0
FirmB,Interest Expense,2733000000.0,2222000000.0,1243000000.0,781000000.0,597000000.0,429000000.0,380000000.0,295000000.0
FirmB,Other Non-Operating Items,,,,,,,,
FirmB,Pre-Tax Income,36474000000.0,29901000000.0,25639000000.0,18507000000.0,27820000000.0,27052000000.0,22267000000.0,28071000000.0
FirmB,Income Tax Expense,19903000000.0,4412000000.0,5100000000.0,6314000000.0,5746000000.0,5189000000.0,5289000000.0,4921000000.0
FirmB,Net Income,16571000000.0,25489000000.0,20539000000.0,12193000000.0,22074000000.0,21863000000.0,16978000000.0,23150000000.0
FirmC,Cash and Cash Equivalents,16701000000.0,10715000000.0,12918000000.0,16549000000.0,18347000000.0,18898000000.0,14778000000.0,9983000000.0
FirmC,Accounts Receivable,21193000000.0,18705000000.0,14232000000.0,13909000000.0,10849000000.0,9390000000.0,8585000000.0,6172000000.0
FirmC,Inventory,1107000000.0,749000000.0,268000000.0,491000000.0,1322000000.0,426000000.0,505000000.0,215000000.0
FirmC,Other Current Assets,4236000000.0,2983000000.0,4575000000.0,2648000000.0,5174000000.0,5623000000.0,4205000000.0,1925000000.0
FirmC,Total Current Assets,135676000000.0,124308000000.0,105408000000.0,90114000000.0,80685000000.0,72886000000.0,60454000000.0,52758000000.0
FirmC,Property Plant & Equipment,,,,,,,,
FirmC,Intangible Assets,2220000000.0,2692000000.0,3307000000.0,3847000000.0,4607000000.0,6066000000.0,7473000000.0,1578000000.0
FirmC,Other Non-Current Assets,2693000000.0,2672000000.0,1819000000.0,3181000000.0,3280000000.0,1976000000.0,2011000000.0,499000000.0
FirmC,Total Assets,232792000000.0,197295000000.0,167497000000.0,147461000000.0,131133000000.0,110920000000.0,93798000000.0,72574000000.0
