Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
Firmaa,Pre-Tax Income,5600000000.0,5026000000.0,4849000000.0,3991000000.0,4356000000.0,4396000000.0,3823000000.0,4768000000.0
Firmaa,Income Tax Expense,1511000000.0,970000000.0,1230000000.0,935000000.0,1080000000.0,1071000000.0,996000000.0,1329000000.0
Firmaa,Net Income,4083000000.0,4018000000.0,3631000000.0,3064000000.0,3275000000.0,3326000000.0,2826000000.0,3438000000.0
Firmab,Cash and Cash Equivalents,2543484000.0,1606549000.0,1158363000.0,908117000.0,781635000.0,747245000.0,607284000.0,424292000.0
Firmab,Accounts Receivable,3921000000.0,3230820000.0,2523506000.0,1922126000.0,1360837000.0,872634000.0,683745000.0,426943000.0
Firmab,Inventory,0.0,0.0,481017000.0,632517000.0,403273000.0,0.0,0.0,0.0
Firmab,Other Current Assets,1142000000.0,557120000.0,482440000.0,596989000.0,480641000.0,296805000.0,210611000.0,151011000.0
Firmab,Total Current Assets,9290371000.0,5996827000.0,4347327000.0,3550072000.0,2680252000.0,2015880000.0,1672222000.0,1074924000.0
Firmab,Property Plant & Equipment,,,,,,,,
Firmab,Intangible Assets,995289000.0,1294258000.0,653403000.0,779248000.0,909993000.0,270549000.0,249542000.0,127987000.0
Firmab,Other Non-Current Assets,749713000.0,646566000.0,275722000.0,375232000.0,236693000.0,146919000.0,118219000.0,153213000.0
Firmab,Total Assets,21009802000.0,17584923000.0,12762920000.0,10692982000.0,9152930000.0,5528956000.0,4164154000.0,3091165000.0
Firmab,Accounts Payable,76000000.0,115257000.0,71481000.0,95537000.0,64988000.0,14535000.0,33258000.0,18106000.0
Firmab,Short-Term Debt,1127539000.0,102106000.0,15402000.0,0.0,572159000.0,521278000.0,574550000.0,0.0
Firmab,Other Current Liabilities,8557600000.0,1295602000.0,1056674000.0,822954000.0,716310000.0,462830000.0,401971000.0,295986000.0
Firmab,Total Current Liabilities,10129518000.0,7258353000.0,5617005000.0,4390103000.0,3980188000.0,2917624000.0,2323471000.0,1276466000.0
Firmab,Long-Term Debt,1372423000.0,2689952000.0,2033164000.0,2197593000.0,1936404000.0,126658000.0,48651000.0,498025000.0
Firmab,Other Non-Current Liabilities,52860000.0,0.0,0.0,95422000.0,122713000.0,0.0,28412000.0,0.0
Firmab,Total Liabilities,11617439000.0,10084796000.0,7760051000.0,6717799000.0,6087715000.0,3157711000.0,2576794000.0,1814674000.0
Firmab,Total Equity,9392363000.0,7500127000.0,5002869000.0,3975183000.0,3065215000.0,2371245000.0,1587360000.0,1276491000.0
Firmab,Total Liabilities and Equity,21009802000.0,17584923000.0,12762920000.0,10692982000.0,9152930000.0,5528956000.0,4164154000.0,3091165000.0
Firmab,Revenues,10480012000.0,8391984000.0,6667216000.0,5373586000.0,4071003000.0,3050195000.0,2266539000.0,1657139000.0
Firmab,Cost of Goods Sold (COGS),2773000000.0,2234000000.0,1654548000.0,1289270000.0,968428000.0,683579000.0,488886000.0,323813000.0
Firmab,Gross Profit,7767000000.0,6203000000.0,5012668000.0,4084316000.0,3102575000.0,2366616000.0,1777653000.0,1333326000.0
Firmab,Operating Expenses,7313000000.0,5985000000.0,4897745000.0,4229949000.0,3388649000.0,2477326000.0,1812738000.0,1235829000.0
Firmab,Depreciation and Amortization,784000000.0,632000000.0,525750000.0,448296000.0,369423000.0,216795000.0,157286000.0,75746000.0
Firmab,Total Operating Expenses,,,,,,,,
Firmab,Operating Income,454000000.0,218000000.0,114923000.0,-145633000.0,-286074000.0,-110710000.0,-35085000.0,97497000.0
Firmab,Interest Income,36480000.0,22000000.0,14146000.0,10129000.0,9512000.0,17903000.0,20791000.0,28273000.0
Firmab,Interest Expense,86943000.0,89000000.0,72485000.0,73237000.0,77211000.0,30948000.0,17045000.0,24909000.0
Firmab,Other Non-Operating Items,,,,,,,,
Firmab,Pre-Tax Income,420000000.0,179000000.0,64279000.0,-213085000.0,-357935000.0,-127794000.0,-33317000.0,104298000.0
Firmab,Income Tax Expense,60000000.0,-144000000.0,111705000.0,49603000.0,-125760000.0,142651000.0,-21745000.0,34601000.0
Firmab,Net Income,360000000.0,323000000.0,-47426000.0,-262688000.0,-232175000.0,-270445000.0,-11572000.0,64474000.0
Firmac,Cash and Cash Equivalents,1203000000.0,1219000000.0,5500000000.0,4582000000.0,5315000000.0,5891000000.0,2368302000.0,1943282000.0
Firmac,Accounts Receivable,4369000000.0,4227000000.0,3866000000.0,4202000000.0,5003000000.0,3660000000.0,98653000.0,78023000.0
Firmac,Inventory,1084000000.0,1566000000.0,1111000000.0,1295000000.0,1085000000.0,586000000.0,259157000.0,239648000.0
Firmac,Other Current Assets,1625000000.0,1903000000.0,3740000000.0,1813000000.0,2581000000.0,2091000000.0,134920000.0,182668000.0
Firmac,Total Current Assets,8281000000.0,8915000000.0,14217000000.0,14890000000.0,13984000000.0,12228000000.0,3187303000.0,2743593000.0
Firmac,Property Plant & Equipment,,,,,,,,
Firmac,Intangible Assets,35757000000.0,35583000000.0,27390000000.0,24549000000.0,22825000000.0,19326000000.0,2562407000.0,2539041000.0
Firmac,Other Non-Current Assets,-2105000000.0,-2518000000.0,-3203000000.0,1314000000.0,288000000.0,1367000000.0,142472000.0,168765000.0
Firmac,Total Assets,72468000000.0,70563000000.0,65891000000.0,62436000000.0,56653000000.0,49953000000.0,10189415000.0,9482931000.0
Firmac,Accounts Payable,5487000000.0,6182000000.0,5163000000.0,6137000000.0,5322000000.0,3026000000.0,211373000.0,211890000.0
Firmac,Short-Term Debt,1682000000.0,2225000000.0,688000000.0,344000000.0,110000000.0,244000000.0,36640000.0,33460000.0
Firmac,Other Current Liabilities,1758000000.0,1709000000.0,1660000000.0,1836000000.0,2280000000.0,2093000000.0,280452000.0,259962000.0
Firmac,Total Current Liabilities,10267000000.0,11515000000.0,9022000000.0,9528000000.0,8776000000.0,5808000000.0,847803000.0,816723000.0
Firmac,Long-Term Debt,14681000000.0,29297000000.0,22923000000.0,21125000000.0,16660000000.0,22441000000.0,5034602000.0,4711021000.0
Firmac,Other Non-Current Liabilities,18330000000.0,3655000000.0,10772000000.0,11165000000.0,10681000000.0,2814000000.0,-83271000.0,210481000.0
Firmac,Total Liabilities,47750000000.0,48004000000.0,47655000000.0,45879000000.0,40990000000.0,35708000000.0,6830508000.0,6555331000.0
Firmac,Total Equity,24718000000.0,22559000000.0,18236000000.0,16557000000.0,15663000000.0,14245000000.0,3358907000.0,2927600000.0
